"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"03223","STANDARD","CAMPTON","NH","PRIMARY",43.86,-71.63,"NA-US-NH-CAMPTON","false",2215,3750,70559288
"03285","STANDARD","THORNTON","NH","PRIMARY",43.93,-71.62,"NA-US-NH-THORNTON","false",596,1035,18868103
"03741","STANDARD","CANAAN","NH","PRIMARY",43.64,-72.01,"NA-US-NH-CANAAN","false",2056,3514,78885778
"03034","STANDARD","CANDIA","NH","PRIMARY",43.07,-71.27,"NA-US-NH-CANDIA","false",2135,3789,108947848
"03040","PO BOX","EAST CANDIA","NH","PRIMARY",43.05,-71.27,"NA-US-NH-EAST CANDIA","false",,,
"03224","STANDARD","CANTERBURY","NH","PRIMARY",43.33,-71.56,"NA-US-NH-CANTERBURY","false",1214,2165,56186081
"03225","STANDARD","CENTER BARNSTEAD","NH","PRIMARY",43.33,-71.23,"NA-US-NH-CENTER BARNSTEAD","false",1713,3042,66310682
"03813","STANDARD","CENTER CONWAY","NH","PRIMARY",43.97,-71.04,"NA-US-NH-CENTER CONWAY","false",1553,2619,44602920
"03226","STANDARD","CENTER HARBOR","NH","PRIMARY",43.70,-71.22,"NA-US-NH-CENTER HARBOR","false",1319,2204,59026038
"03814","STANDARD","CENTER OSSIPEE","NH","PRIMARY",43.76,-71.12,"NA-US-NH-CENTER OSSIPEE","false",1138,1929,29646487
"03227","STANDARD","CENTER SANDWICH","NH","PRIMARY",43.83,-71.47,"NA-US-NH-CENTER SANDWICH","false",518,881,14676513
"03603","STANDARD","CHARLESTOWN","NH","PRIMARY",43.23,-72.42,"NA-US-NH-CHARLESTOWN","false",2659,4511,85720280
"03036","STANDARD","CHESTER","NH","PRIMARY",42.95,-71.25,"NA-US-NH-CHESTER","false",2271,4295,140628082
"03443","STANDARD","CHESTERFIELD","NH","PRIMARY",42.88,-72.46,"NA-US-NH-CHESTERFIELD","false",361,635,15755417
"03817","STANDARD","CHOCORUA","NH","PRIMARY",43.89,-71.24,"NA-US-NH-CHOCORUA","false",360,593,9094758
"03743","STANDARD","CLAREMONT","NH","PRIMARY",43.37,-72.33,"NA-US-NH-CLAREMONT","false",6731,11223,220533024
"03576","STANDARD","COLEBROOK","NH","PRIMARY",44.89,-71.49,"NA-US-NH-COLEBROOK","false",1644,2776,45479318
"03301","STANDARD","CONCORD","NH","PRIMARY",43.23,-71.56,"NA-US-NH-CONCORD","false",15608,25391,639048884
"03302","PO BOX","CONCORD","NH","PRIMARY",43.23,-71.56,"NA-US-NH-CONCORD","false",764,1096,28178610
"03303","STANDARD","CONCORD","NH","PRIMARY",43.23,-71.56,"NA-US-NH-CONCORD","false",7562,12766,295052353
"03304","STANDARD","BOW","NH","PRIMARY",43.13,-71.54,"NA-US-NH-BOW","false",3803,7129,240032317
"03305","UNIQUE","CONCORD","NH","PRIMARY",43.23,-71.56,"NA-US-NH-CONCORD","false",,,
"03307","STANDARD","LOUDON","NH","PRIMARY",43.28,-71.46,"NA-US-NH-LOUDON","false",2611,4664,109214901
"03229","STANDARD","CONTOOCOOK","NH","PRIMARY",43.22,-71.71,"NA-US-NH-CONTOOCOOK","false",2998,5355,164484836
"03818","STANDARD","CONWAY","NH","PRIMARY",43.97,-71.12,"NA-US-NH-CONWAY","false",2195,3551,61447401
"03745","STANDARD","CORNISH","NH","PRIMARY",43.48,-72.32,"NA-US-NH-CORNISH","false",611,1083,25492397
"03746","PO BOX","CORNISH FLAT","NH","PRIMARY",43.49,-72.27,"NA-US-NH-CORNISH FLAT","false",257,435,8587518
"03230","STANDARD","DANBURY","NH","PRIMARY",43.52,-71.86,"NA-US-NH-DANBURY","false",585,985,18809681
"03819","STANDARD","DANVILLE","NH","PRIMARY",42.91,-71.12,"NA-US-NH-DANVILLE","false",2057,3663,97220002
"03037","STANDARD","DEERFIELD","NH","PRIMARY",43.14,-71.21,"NA-US-NH-DEERFIELD","false",2140,3869,104944716
"03038","STANDARD","DERRY","NH","PRIMARY",42.89,-71.28,"NA-US-NH-DERRY","false",17028,29572,788511254
"03820","STANDARD","DOVER","NH","PRIMARY",43.19,-70.87,"NA-US-NH-DOVER","false",15044,24060,630653050
"03821","PO BOX","DOVER","NH","PRIMARY",43.19,-70.87,"NA-US-NH-DOVER","false",521,767,19213109
"03822","UNIQUE","DOVER","NH","PRIMARY",43.19,-70.87,"NA-US-NH-DOVER","false",,,
"03823","STANDARD","MADBURY","NH","PRIMARY",43.17,-70.93,"NA-US-NH-MADBURY","false",878,1578,54377884
